date,title,amount
2025-05-14,Amazonmktplc*Psautoeac - Parcela 1/2,40.45
2025-05-11,Babacu Mania,115.00
2025-05-11,R.S.F.,40.00
2025-05-07,Sacolao Sabor da Fruta,54.88
2025-05-07,Amazonprimebr,19.90
2025-05-04,Petronorte Combustivei,50.00
2025-05-03,Vivo Easy,33.00
2025-05-01,N R Comercio de Combu,30.00
2025-05-01,Supermercado Marisilva,30.97
2025-04-29,Petronorte Combustivei,30.00
2025-04-27,Petronorte Combustivei,40.00
2025-04-27,Esi Bebe,144.00
2025-04-26,Cristianaeugenia,44.00
2025-04-26,Biofarma,42.98
2025-04-25,Pagamento recebido,-837.20
2025-04-21,C B Ribeiro Coelho,102.00
2025-04-20,Pipes Empreendimentos,25.00
2025-04-20,Auto Posto Tocantins,60.00
2025-04-18,Cinelandiaarruda - Parcela 3/3,100.00
2025-04-18,Linda de Marre - Parcela 3/3,53.30
