date,title,amount
2025-08-15,Auto Posto Netinho,30.00
2025-08-14,Espetinhodoclaudian,38.85
2025-08-10,Acaiteria Chef do Acai,24.00
2025-08-10,Posto Boa Vista,120.00
2025-08-08,Rafaelpiresde,20.00
2025-08-08,Supermercado Marisilva,37.67
2025-08-07,Amazonprimebr,19.90
2025-08-05,C B Ribeiro Coelho,37.84
2025-08-04,Vip Acaiteria,35.00
2025-08-03,Vivo Easy,33.00
2025-07-31,Supermercado Marisilva,50.61
2025-07-30,Supermercado Marisilva,83.43
2025-07-29,Babacu Mania,30.00
2025-07-29,Petronorte Combustivei,17.75
2025-07-28,Targinojeans,80.00
2025-07-28,C B Ribeiro Coelho,34.22
2025-07-27,Cicero do Espetinho,57.00
2025-07-27,Comerciallima,15.00
2025-07-26,Posto Fr,12.00
2025-07-26,Farmaalfa,63.10
2025-07-23,Pagamento recebido,-946.08
2025-07-20,Supermercado Marisilva,22.78
2025-07-20,Supermercado Economico,76.49
2025-07-18,Banca do Gordin - Parcela 3/3,76.67
2025-07-18,Lojas Mendonca - Parcela 3/3,76.56
