date,title,amount
2025-02-17,Babacu Mania,118.50
2025-02-07,Amazonprimebr,19.90
2025-02-07,Villa Prime Cafe Acai,57.00
2025-02-04,IOF de atraso,0.86
2025-02-04,Juros de dívida encerrada,12.84
2025-02-04,Sacolao Sabor da Fruta,104.15
2025-02-04,Multa de atraso,3.89
2025-02-04,Juros de atraso,8.08
2025-02-04,Encerramento de dívida,-12.84
2025-02-04,Amazon Kindle Unltd,19.90
2025-02-04,Pagamento recebido,-193.82
2025-02-03,Vivo Easy,33.00
2025-01-27,Crédito de atraso,-193.81
2025-01-27,Saldo em atraso,193.81
2025-01-18,I9fitness - Parcela 3/3,100.00
2025-01-18,Raquel Franca Laino - Parcela 3/3,40.92
