date,title,amount
2025-04-14,Biofarma,17.96
2025-04-14,Matrincha,55.00
2025-04-14,Posto Boa Vista,30.00
2025-04-13,C B Ribeiro Coelho,32.45
2025-04-08,R.S.F.,30.00
2025-04-07,Amazonprimebr,19.90
2025-04-03,Vivo Easy,33.00
2025-04-02,Babacu Mania,119.00
2025-04-01,Dm *Spotify,21.90
2025-03-31,Babacu Mania,148.50
2025-03-29,Joserodriguesda,40.00
2025-03-28,Petronorte Combustivei,50.00
2025-03-28,Supermercado Marisilva,12.97
2025-03-26,Comercial Meneses,25.00
2025-03-25,Pagamento recebido,-483.65
2025-03-23,C B Ribeiro Coelho,15.25
2025-03-23,Supermercado Marisilva,32.97
2025-03-18,Cinelandiaarruda - Parcela 2/3,100.00
2025-03-18,Linda de Marre - Parcela 2/3,53.30
