date,title,amount
2025-06-16,C B Ribeiro Coelho,57.22
2025-06-13,Banca do Gordin - Parcela 1/3,76.66
2025-06-11,Espeto Mix,51.00
2025-06-11,Aem Pratas - Parcela 1/2,140.00
2025-06-07,C B Ribeiro Coelho,11.55
2025-06-07,Amazonprimebr,19.90
2025-06-03,Vivo Easy,33.00
2025-06-02,Emporio63,68.00
2025-06-01,R.S.F.,40.00
2025-06-01,Lojas Mendonca - Parcela 1/3,76.58
2025-05-29,Bengo Tocantinopolis,51.10
2025-05-28,Petronorte Combustivei,15.00
2025-05-26,Pagamento recebido,-1055.48
2025-05-23,Amazonmktplc*Jrmeconfe - Parcela 1/2,26.35
2025-05-18,Amazonmktplc*Psautoeac - Parcela 2/2,40.44
